start_frame,end_frame
233,238
242,246
251,254
259,262
266,270
274,278
282,286
290,295
299,303
307,311
315,319
323,327
332,335
339,344
348,352
356,360
365,369
373,376
380,385
389,393
456,461
465,469
473,477
481,485
490,494
498,502
506,509
513,517
522,525
529,534
538,542
546,550
554,557
561,566
570,574
577,581
586,590
594,598
602,606
611,615
619,623
627,631
635,639
643,647
651,655
660,664
668,672
676,680
684,688
692,696
700,705
709,713
717,721
726,730
734,738
742,746
750,754
758,762
766,770
774,778
782,786
791,795
799,803
808,812
816,820
824,827
831,835
840,844
848,852
856,859
864,868
872,876
881,885
890,894
898,902
906,910
914,918
922,927
931,935
939,943
948,952
955,959
963,967
972,975
979,984
988,992
996,1000
1004,1007
1011,1016
1020,1024
1028,1032
1036,1040
1044,1048
1052,1056
1059,1064
1068,1072
1075,1080
1084,1089
1093,1097
1101,1104
